Country Name,Regional Indicator,Year,Life Ladder,Log GDP Per Capita,Social Support,Healthy Life Expectancy At Birth,Freedom To Make Life Choices,Generosity,Perceptions Of Corruption,Positive Affect,Negative Affect,Confidence In National Government
Australia,North America and ANZ,1901,7.340688229,10.66205788,0.96789217,69.80000305,0.9349733,,0.390415937,0.769770324,0.23801209,0.532063305
Belgium,Western Europe,1901,7.262290478,10.74380779,0.934874713,68.40000153,0.923843026,,0.597554445,0.676885664,0.26037994,0.551705003
Brazil,Latin America and Caribbean,1901,6.636771202,9.4351511,0.882922947,63.09999847,0.882186115,,0.744994044,0.769921243,0.301779836,0.34062475
Canada,North America and ANZ,1901,7.418048382,10.70729923,0.961552441,70.5,0.957306266,0.248032972,0.502681196,0.78329885,0.233278155,0.442817539
Czechia,Central and Eastern Europe,1901,6.439256668,10.32168579,0.918759465,67.09999847,0.865234971,,0.900732756,0.638764262,0.257948965,0.282911479
Denmark,Western Europe,1901,8.01893425,10.84901237,0.972371519,68.30000305,0.97113502,,0.236521706,0.776689112,0.15367195,0.66868329
Egypt,Middle East and North Africa,1901,5.167754173,8.989677429,0.847842455,61.40000153,0.81736201,,,0.688714862,0.345555186,
France,Western Europe,1901,7.093392849,10.63676929,0.940338254,70.69999695,0.89481926,,0.687850833,0.681277752,0.225094199,0.324883521
Germany,Western Europe,1901,6.619549751,10.69079208,0.963490367,69.90000153,0.846623778,,0.781006813,0.684764624,0.197262481,0.321758807
Greece,Western Europe,1901,6.006309986,10.45363522,0.836539447,69.59999847,0.734171808,,0.860563099,0.597686529,0.263643026,0.487543494
Hungary,Central and Eastern Europe,1901,5.193933487,10.10293579,0.929628253,65,0.696874499,,0.902810693,0.578233123,0.290326953,0.360526353
Iran,Middle East and North Africa,1901,5.308190346,9.497694016,0.765978038,64.30000305,0.651167691,,0.636490345,0.514641285,0.456109405,0.55480504
Italy,Western Europe,1901,6.853783607,10.697855,0.928000689,70.59999847,0.802194953,,0.943912327,0.606102049,0.294698149,0.238738
Japan,East Asia,1901,6.515817165,10.55191517,0.927711964,72.40000153,0.867779255,,0.698929727,0.685981691,0.15315105,0.350331277
Jordan,Middle East and North Africa,1901,6.294660091,9.28282547,0.920012951,65.80000305,,,0.669726729,0.629833221,0.239559561,0.80014956
Lebanon,Middle East and North Africa,1901,5.49124527,9.572590828,0.796278358,65.09999847,0.703205824,,0.945177019,0.558134913,0.292149812,
